forecast_origin,timestamp,turbine_id,wind_speed,temperature,latitude,longitude,weather_valid_time,weather_source
2026-01-31T00:00:00+05:00,2026-01-31T00:00:00+05:00,1,7.44,-3.20,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T01:00:00+05:00,1,7.38,-3.60,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T02:00:00+05:00,1,7.73,-3.80,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T03:00:00+05:00,1,8.25,-3.90,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T04:00:00+05:00,1,8.23,-3.90,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T05:00:00+05:00,1,8.25,-4.00,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T06:00:00+05:00,1,8.50,-4.20,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T07:00:00+05:00,1,8.79,-4.30,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T08:00:00+05:00,1,8.85,-3.10,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T09:00:00+05:00,1,8.91,0.30,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T10:00:00+05:00,1,8.32,3.10,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T11:00:00+05:00,1,8.80,4.30,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
2026-01-31T00:00:00+05:00,2026-01-31T12:00:00+05:00,1,8.84,5.50,43.645150,78.535604,2026-01-30T23:00:00+05:00,open-meteo:single-runs:ecmwf_ifs:run=2026-01-30T12:00Z
